date,close,volume,high,low,open
2016-03-14,102.52,25058280.0000,102.91,101.78,103.96
2016-03-11,102.26,27368840.0000,102.28,101.5,101.91
2016-03-10,101.17,33490630.0000,102.24,100.15,102.24
2016-03-09,101.12,27148530.0000,101.58,100.27,101.41
2016-03-08,101.03,31538710.0000,101.76,100.4,101.31
2016-03-07,101.87,35890740.0000,102.83,100.96,100.78
2016-03-04,103.01,46026600.0000,103.75,101.37,102.39
2016-03-03,101.5,36884490.0000,101.7099,100.45,102.37
2016-03-02,100.75,33136130.0000,100.89,99.64,100.58
2016-03-01,100.53,50303500.0000,100.77,97.42,100.51
2016-02-29,96.69,35131460.0000,98.23,96.65,97.65
2016-02-26,96.91,28949760.0000,98.0237,96.58,96.86
2016-02-25,96.76,27526040.0000,96.76,95.25,97.2
2016-02-24,96.1,36192150.0000,96.38,93.32,96.05
2016-02-23,94.69,31851180.0000,96.5,94.55,93.98
2016-02-22,96.88,34240470.0000,96.9,95.92,96.4
2016-02-19,96.04,35290570.0000,96.7599,95.8,96.31
2016-02-18,96.26,38866100.0000,98.89,96.091,96.0
2016-02-17,98.12,44811800.0000,98.21,96.15,98.84
2016-02-16,96.64,48032600.0000,96.85,94.61,96.67
2016-02-12,93.99,40323020.0000,94.5,93.01,95.02
2016-02-11,93.7,49979700.0000,94.72,92.59,94.19
2016-02-10,94.27,42288790.0000,96.35,94.1,93.79
2016-02-09,94.99,44282560.0000,95.94,93.93,95.92
2016-02-08,95.01,53920550.0000,95.7,93.04,94.29
2016-02-05,94.02,46315620.0000,96.92,93.69,93.13
2016-02-04,96.6,46418230.0000,97.33,95.19,96.52
2016-02-03,96.35,45870130.0000,96.84,94.08,95.86
2016-02-02,94.48,37190500.0000,96.04,94.28,95.0
2016-02-01,96.43,40814360.0000,96.71,95.4,95.42
2016-01-29,97.34,64332440.0000,97.34,94.35,96.47
2016-01-28,94.09,55622370.0000,94.52,92.39,94.79
2016-01-27,93.42,133059000.0000,96.6289,93.34,93.79
2016-01-26,99.99,71937310.0000,100.88,98.07,96.04
2016-01-25,99.44,51529980.0000,101.53,99.21,99.93
2016-01-22,101.42,65648660.0000,101.46,98.37,101.52
2016-01-21,96.3,52099200.0000,97.88,94.94,98.63
2016-01-20,96.79,72274300.0000,98.1897,93.42,97.06
2016-01-19,96.66,52960810.0000,98.65,95.5,95.1
2016-01-15,97.13,79356010.0000,97.71,95.36,98.41
2016-01-14,99.52,63000140.0000,100.48,95.74,96.2
2016-01-13,97.39,62285770.0000,101.19,97.3,97.96
2016-01-12,99.96,49046150.0000,100.69,98.8399,100.32
2016-01-11,98.53,49687870.0000,99.06,97.34,100.55
2016-01-08,96.96,70722000.0000,99.11,96.76,98.97
2016-01-07,96.45,80742460.0000,100.13,96.43,98.55
2016-01-06,100.7,68384270.0000,102.37,99.87,98.68
2016-01-05,102.71,55583140.0000,105.85,102.41,100.56
2016-01-04,105.35,67569090.0000,105.368,102.0,105.75
2015-12-31,105.26,40885480.0000,107.03,104.82,102.61
2015-12-30,107.32,25184090.0000,108.7,107.18,107.01
2015-12-29,108.74,30912260.0000,109.43,106.86,108.58
2015-12-28,106.82,26639930.0000,107.69,106.1807,106.96
2015-12-24,108.03,13596680.0000,109.0,107.95,107.59
2015-12-23,108.61,32618140.0000,108.85,107.2,109.0
2015-12-22,107.23,32728460.0000,107.72,106.451,107.27
2015-12-21,107.33,47507230.0000,107.37,105.57,107.4
2015-12-18,106.03,96197190.0000,109.52,105.81,107.28
